"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer16_2","young adults",75,5,10,5,15,10,45,26.6666666666667,12,21,1.66666666666667,3,2,1,1.91666666666667,17,11,3.86793333333333,1.90548888888889,23
"teilnehmer16_2","young adults",50,10,10,10,10,10,65,32.5,12,21,2.33333333333333,3.33333333333333,2.33333333333333,1.33333333333333,2.33333333333333,17,9,4.06151111111111,1.75546666666667,23
"teilnehmer16_2","young adults",100,5,5,5,5,30,80,36.6666666666667,10,29,1.66666666666667,2.33333333333333,2.33333333333333,1.33333333333333,1.91666666666667,17,10,NA,2.43555,23
"teilnehmer16_2","young adults",25,5,5,10,10,65,95,45,10,26,1.33333333333333,2.33333333333333,1.66666666666667,1,1.58333333333333,18,13,3.94739516129032,1.99059523809524,23
"teilnehmer16_2","young adults",0,5,5,5,5,95,90,49.1666666666667,10,23,1.33333333333333,2.66666666666667,2.33333333333333,1,1.83333333333333,18,10,2.65893888888889,NA,23
"teilnehmer17_2","young adults",25,20,5,20,90,5,5,10.8333333333333,21,12,2.66666666666667,4.66666666666667,2.66666666666667,2,3,15,5,6.8870625,7.36995238095238,19
"teilnehmer17_2","young adults",50,25,5,15,85,10,5,12.5,21,12,3.66666666666667,4,2.33333333333333,3,3.25,14,5,7.14897619047619,6.85227906976744,19
"teilnehmer17_2","young adults",0,30,5,15,95,10,5,11.6666666666667,19,14,4,3.33333333333333,2.66666666666667,3,3.25,15,5,4.980225,NA,19
"teilnehmer17_2","young adults",75,20,10,15,95,20,15,14.1666666666667,25,15,4,3.66666666666667,3,3.33333333333333,3.5,15,5,2.07151724137931,6.20209195402299,19
"teilnehmer17_2","young adults",100,30,25,15,95,20,15,18.3333333333333,19,15,4.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,3.33333333333333,16,5,NA,4.74353174603175,19
"teilnehmer18_2B","young adults",0,10,10,25,35,10,20,23.3333333333333,33,21,2.33333333333333,3.66666666666667,3,3,3,9,20,2.38506666666667,NA,18
"teilnehmer19_2B","young adults",75,10,10,15,45,10,20,20,35,15,3.66666666666667,4.33333333333333,3,3.66666666666667,3.66666666666667,6,15,2.22537777777778,2.0524,18
"teilnehmer18_2B","young adults",100,10,10,15,15,10,30,26.6666666666667,35,19,2.33333333333333,2.66666666666667,2.66666666666667,2,2.41666666666667,9,25,NA,1.64322222222222,18
"teilnehmer19_2B","young adults",100,10,10,15,15,10,40,28.3333333333333,30,16,3.33333333333333,3,2.66666666666667,2,2.75,8,25,NA,2.39153333333333,18
"teilnehmer19_2B","young adults",50,10,10,25,20,15,50,31.6666666666667,23,18,2.33333333333333,2.33333333333333,2.66666666666667,2,2.33333333333333,8,31,2.56905555555556,1.78332222222222,18
"teilnehmer18_2B","young adults",25,5,10,20,15,15,50,30.8333333333333,31,21,2.33333333333333,2,2.66666666666667,1.66666666666667,2.16666666666667,7,35,1.99082962962963,1.45624444444444,18
"teilnehmer19_2B","young adults",0,10,10,15,15,15,60,32.5,27,13,3.33333333333333,2.33333333333333,2.66666666666667,2,2.58333333333333,8,31,1.83723333333333,NA,18
"teilnehmer18_2B","young adults",75,5,5,25,25,25,60,32.5,36,19,2,2,2.66666666666667,2,2.16666666666667,6,38,1.99331111111111,1.60795555555556,18
"teilnehmer18_2B","young adults",50,20,5,20,50,25,75,32.5,36,18,2.33333333333333,2.66666666666667,2.66666666666667,2,2.41666666666667,6,40,1.88292222222222,2.04214444444444,18
"teilnehmer19_2B","young adults",25,10,10,30,35,15,55,30.8333333333333,25,13,3.33333333333333,2,2.66666666666667,2,2.5,8,37,2.00886666666667,2.28211111111111,18
"teilnehmer20_2","young adults",50,10,5,35,75,10,20,17.5,21,15,2,3,2.66666666666667,1,2.16666666666667,9,5,4.91654545454545,2.15122077922078,18
"teilnehmer20_2","young adults",25,20,30,15,70,45,35,29.1666666666667,18,15,2,2,2,1,1.75,8,10,2.97648148148148,1.76355555555556,18
"teilnehmer20_2","young adults",75,20,50,30,75,55,40,36.6666666666667,18,16,1.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,1.58333333333333,8,15,3.87771111111111,1.98879259259259,18
"teilnehmer20_2","young adults",0,30,60,30,75,60,45,41.6666666666667,15,18,2.33333333333333,1,1.66666666666667,1.33333333333333,1.58333333333333,9,20,2.29471111111111,NA,18
"teilnehmer20_2","young adults",100,30,65,35,75,70,70,49.1666666666667,17,19,2.33333333333333,1,1.66666666666667,1.33333333333333,1.58333333333333,10,30,NA,2.03527777777778,18
