"userid","Altersgruppe","condition","TLX_mental","TLX_physical","TLX_temporal","TLX_perf_raw","TLX_effort","TLX_frustration","TLX_total","PANAS_PA","PANAS_NA","UES_FA","UES_PU","UES_AE","UES_RW","UES_total","MFI_GF","Stress","avg_watchtime_nichtKI","avg_watchtime_KI","Alter"
"teilnehmer12A","elderly",25,5,5,95,10,5,100,50,17,21,1,1,2,1,1.25,9,52,1.7197037037037,1.48928888888889,60
"teilnehmer13","elderly",50,35,10,50,70,15,10,25,36,10,3.33333333333333,4.66666666666667,3.66666666666667,3.33333333333333,3.75,5,18,33.0292222222222,33.4804444444444,65
"teilnehmer14","elderly",25,20,30,15,55,35,20,27.5,27,11,4,4,3.66666666666667,3.66666666666667,3.83333333333333,9,7,9.83622448979592,7.3541875,67
"teilnehmer13","elderly",75,10,10,15,95,10,5,9.16666666666667,30,11,4,4.33333333333333,3.66666666666667,2.66666666666667,3.66666666666667,5,20,31.801,31.1850666666667,65
"teilnehmer14","elderly",0,15,15,40,40,15,25,28.3333333333333,24,10,4,4,3.33333333333333,3,3.58333333333333,9,7,13.0365217391304,NA,67
"teilnehmer13","elderly",25,5,30,5,90,5,45,16.6666666666667,31,13,3.66666666666667,4.33333333333333,3,2,3.25,5,42,26.0583333333333,21.7783333333333,65
"teilnehmer14","elderly",50,15,25,35,15,15,10,30.8333333333333,24,10,3.66666666666667,4.33333333333333,3.33333333333333,2,3.33333333333333,12,10,6.63277419354839,12.7111290322581,67
"teilnehmer13","elderly",100,55,60,5,95,70,75,45,31,18,3.66666666666667,3,2.66666666666667,2.33333333333333,2.91666666666667,5,47,NA,29.9856,65
"teilnehmer14","elderly",100,15,25,25,25,30,35,34.1666666666667,24,11,3.33333333333333,3.66666666666667,3.33333333333333,3.33333333333333,3.41666666666667,9,11,NA,11.7583725490196,67
"teilnehmer13","elderly",0,5,5,5,100,75,75,27.5,23,16,2.33333333333333,2.66666666666667,3.66666666666667,1.33333333333333,2.5,5,57,18.1731515151515,NA,65
"teilnehmer14","elderly",75,15,25,35,20,35,25,35.8333333333333,23,10,4,3.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,9,12,5.16191304347826,6.95965217391304,67
"teilnehmer15","elderly",100,35,10,40,50,20,55,35,20,15,3,4,3.33333333333333,3,3.33333333333333,13,27,NA,31.5642105263158,67
"teilnehmer15","elderly",0,25,20,25,30,20,30,31.6666666666667,19,16,3.33333333333333,3.66666666666667,3,3,3.25,13,31,14.99275,NA,67
"teilnehmer15","elderly",75,25,15,20,25,25,25,30.8333333333333,18,16,3.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,3.25,13,30,9.869625,21.6983333333333,67
"teilnehmer15","elderly",25,20,20,25,20,20,30,32.5,19,18,3.33333333333333,3.66666666666667,3.33333333333333,2,3.08333333333333,12,30,10.702875,12.2574285714286,67
"teilnehmer15","elderly",50,25,20,25,20,20,35,34.1666666666667,19,16,2.66666666666667,3.33333333333333,3,2.33333333333333,2.83333333333333,13,31,14.2700476190476,14.2875714285714,67
"teilnehmer17","elderly",25,5,5,5,100,5,5,4.16666666666667,38,12,3,5,3.33333333333333,3,3.58333333333333,4,0,6.31181944444444,5.94241666666667,81
"teilnehmer16","elderly",75,5,5,5,100,5,5,4.16666666666667,22,26,2.33333333333333,4,2,1.33333333333333,2.41666666666667,6,0,11.7557857142857,10.1159069767442,61
"teilnehmer17","elderly",50,5,5,5,100,5,5,4.16666666666667,39,12,3.33333333333333,5,3.33333333333333,3,3.66666666666667,4,0,5.48283333333333,4.24798360655738,81
"teilnehmer16","elderly",50,5,5,5,95,5,90,19.1666666666667,20,23,2.33333333333333,3.33333333333333,2,1.66666666666667,2.33333333333333,8,5,3.79904494382022,2.93826966292135,61
"teilnehmer16","elderly",100,5,5,5,95,5,90,19.1666666666667,17,23,1.33333333333333,3.66666666666667,2,1.33333333333333,2.08333333333333,9,8,NA,1.41202222222222,61
"teilnehmer17","elderly",0,5,5,5,90,5,5,5.83333333333333,37,11,3,5,3.33333333333333,2.66666666666667,3.5,4,0,4.56183464566929,NA,81
"teilnehmer16","elderly",25,5,5,5,95,10,5,5.83333333333333,21,23,1.66666666666667,3.66666666666667,2,1.33333333333333,2.16666666666667,8,3,1.32165185185185,1.24653333333333,61
"teilnehmer17","elderly",75,5,5,5,90,5,5,5.83333333333333,35,12,3,4.33333333333333,3.33333333333333,3,3.41666666666667,4,0,3.84295238095238,3.39876377952756,81
"teilnehmer16","elderly",0,5,5,5,5,5,10,20.8333333333333,14,17,1.66666666666667,4,2,1.66666666666667,2.33333333333333,5,0,1.50529444444444,NA,61
"teilnehmer17","elderly",100,5,5,5,90,5,5,5.83333333333333,36,11,3,4.66666666666667,3.33333333333333,3,3.5,4,0,NA,1.83575555555556,81
"teilnehmer18","elderly",0,25,15,5,70,10,5,15,26,10,2.66666666666667,4.33333333333333,3.66666666666667,3.66666666666667,3.58333333333333,16,0,23.24236,NA,63
"teilnehmer18","elderly",100,25,15,5,75,5,5,13.3333333333333,24,11,3.66666666666667,4,3.66666666666667,3.66666666666667,3.75,16,0,NA,27.1832272727273,63
"teilnehmer18","elderly",25,25,15,5,80,15,5,14.1666666666667,24,10,3.33333333333333,4,3.66666666666667,3.66666666666667,3.66666666666667,13,0,24.2448235294118,37.5102,63
"teilnehmer18","elderly",75,50,25,5,75,50,5,26.6666666666667,21,10,2.33333333333333,4,4,3.33333333333333,3.41666666666667,18,1,20.8245,22.3629523809524,63
"teilnehmer18","elderly",50,50,25,5,75,25,5,22.5,26,10,3.33333333333333,4,4,3.66666666666667,3.75,18,0,19.5589333333333,18.9678666666667,63
"teilnehmer19","elderly",75,20,10,10,40,10,15,20.8333333333333,25,12,2,3.66666666666667,2,2.33333333333333,2.5,4,6,11.0472666666667,8.41376086956522,61
"teilnehmer19","elderly",100,10,10,10,10,10,30,26.6666666666667,17,12,2,2,1.66666666666667,1,1.66666666666667,4,9,NA,4.38430882352941,61
"teilnehmer19","elderly",50,10,10,15,10,10,35,28.3333333333333,21,12,1.33333333333333,2.66666666666667,2,1,1.75,4,15,4.08447777777778,2.11337777777778,61
"teilnehmer19","elderly",0,10,10,10,10,35,45,33.3333333333333,20,13,1.33333333333333,2.33333333333333,1.66666666666667,1,1.58333333333333,4,23,2.90635,NA,61
"teilnehmer19","elderly",25,10,15,15,10,35,60,37.5,18,13,1.33333333333333,2.66666666666667,2,1,1.75,4,29,1.90235555555556,1.4966,61
"teilnehmer20","elderly",50,25,25,25,75,25,25,25,32,10,2,4.66666666666667,2.33333333333333,2.66666666666667,2.91666666666667,4,3,6.41785714285714,4.26583928571429,65
"teilnehmer20","elderly",25,25,25,25,75,25,25,25,24,10,2.33333333333333,4,2.33333333333333,2.33333333333333,2.75,8,3,3.93614049586777,2.78921951219512,65
"teilnehmer20","elderly",75,20,30,35,75,30,30,28.3333333333333,24,10,2.33333333333333,3.66666666666667,2.66666666666667,2,2.66666666666667,8,4,3.46163414634146,3.66960655737705,65
"teilnehmer20","elderly",0,30,30,30,75,30,25,28.3333333333333,24,10,2.66666666666667,4,2.66666666666667,1.66666666666667,2.75,10,5,2.8556,NA,65
"teilnehmer20","elderly",100,20,20,25,75,25,25,23.3333333333333,20,10,2.33333333333333,4.33333333333333,2.33333333333333,2,2.75,8,5,NA,2.68951666666667,65
